day,profit,degradation,net,adapted,disagreement,nll,nll_post
0,5.501938487881757,2.304386347397054,3.1975521404847034,1.0,0.014079739263688279,46.277320861816406,98.69989776611328
1,4.871115572330048e-06,0.5022839239560662,-0.5022790528404939,1.0,0.009265336751962507,253.74932861328125,-71.6417007446289
2,5.597790475333258e-06,0.502283955923241,-0.5022783581327657,1.0,0.016003293836320102,-38.12499237060547,-58.44837188720703
3,-0.027552370873408227,0.6593327890509783,-0.6868851599243865,1.0,0.024843401840230872,-52.206809997558594,-53.66474151611328
4,-0.047053390682970875,1.7462374013201978,-1.7932907920031687,1.0,0.015775188514940336,2830.160888671875,-9.25227165222168
5,2.1647162121012373,0.7721446967067693,1.392571515394468,1.0,0.0362935066633669,-62.97547912597656,-72.77237701416016
6,6.301532239832746e-06,0.5022839960053737,-0.5022776944731339,1.0,0.021941619562971318,-72.92615509033203,-73.0137710571289
7,-0.15685039702210737,1.4255087412825682,-1.5823591383046756,1.0,0.022436803798943968,-76.49991607666016,-82.80886840820312
8,5.798423321342168e-06,0.5022839516395723,-0.5022781532162509,1.0,0.019058891458553637,-78.15900421142578,-79.83706665039062
9,-3.429403732979168,3.063379599332224,-6.492783332311392,1.0,0.01376218395010099,-81.52059173583984,-84.80516815185547
10,-1.7904938149905745,2.1951797065576457,-3.98567352154822,1.0,0.03532930411409829,-75.56359100341797,-76.08148193359375
11,4.455899139800808,2.990998373893107,1.464900765907701,1.0,0.03591080924496055,-78.17491912841797,-78.67481231689453
12,-0.6668628886024024,2.5619491080944834,-3.228811996696886,1.0,0.036723111475122965,5397.58203125,131.65858459472656
13,1.1088266897880543,1.9667846115714447,-0.8579579217833904,1.0,0.01792486031708478,17.347803115844727,-32.058349609375
14,-0.8726072784925061,0.763490090513293,-1.6360973690057992,1.0,0.01336348754379675,-75.55557250976562,-73.85971069335938
15,1.192699730050155,1.1909932378827617,0.0017064921673932698,1.0,0.018548881090863837,-73.1054916381836,-76.8636474609375
16,7.86892464365573e-06,0.5022838822074478,-0.5022760132828041,1.0,0.009597023996181713,-80.75643920898438,-81.0753173828125
17,-0.1471705936920766,2.598333877025705,-2.7455044707177816,1.0,0.019964436309927395,-74.44412231445312,-79.96436309814453
18,6.218919619670737e-06,0.5022838283728716,-0.5022776094532518,1.0,0.01772250726432348,-67.21058654785156,-79.4824447631836
19,-0.004820907803698877,0.5107478041087199,-0.5155687119124188,1.0,0.01067545682255259,-75.37386322021484,-70.57003021240234
20,-0.12906666600998604,0.8830328083851885,-1.0120994743951746,1.0,0.009031939487385109,-67.84265899658203,-74.65108489990234
